CODIGO;DESCRIPCION;PVP;PVD
06080;Interruptor triple. Block Vimar. 10A.;8555;7261
06080L.110;Interruptor triple con luz piloto incluida. Block Vimar. 10A.;19176;16269
06081;Interruptor doble + conmutable. Block Vimar. 10A.;9168;7782
06082;Interruptor conmutable doble + sencillo. Block Vimar. 10A.;9790;8303
06083;Interruptor conmutable triple. Block Vimar. 10A.;10403;8832
06099;Modulo Ciego. Block Vimar.;1504;1277
07.310.6055.0;Tapa final seccionable;2437;2067
07.310.9653.0;Tapa para caja 01.001.6253.0 Marca WIELA;2681;2277
07.311.0153.0;Tapa final para WK2.5/U y WK4/U gris;1437;1218
07.311.0155.0;Tapa final para WK2.5/U, y SK4/U beige;1790;1521
07.311.0255.0;Tapa final para WK6/U, beige;1437;1218
07.311.1155.0;Tapa separadora para WK2.5 y WK4 Beige.;2076;1765
07.311.6655.0;Tapa final, apra WKN10/U, beige;1437;1218
07.311.6755.0;Tapa final para WKN16/U, beige;2571;2185
07.311.7855.0;Tapa separadora para WKN35, beige. Wieland.;3571;3034
07.312.2153.0;Tope final borne APF 2.5-4;1294;1092
07.312.2253.0;Separador borne TWF 2.5-4;1437;1218
07.352.0753.0;Caja plastica, superior recto para conector de 3 polos + tierra con pr;28571;24244
070-01001;Balasto de sodio reactor.70W.208/220V;20193;17134
09001;Interruptor 1P 16A. Blanco. Neve.;3798;3227
09005;Conmutador 1P 16A. Blanco. Neve.;5252;4462
09008;Pulsador 1P 10A. Blanco. Neve.;5252;4462
09013;Interruptor Cruzado 1P. 16A. Blanco. Neve.;12664;10748
09041;Modulo ciego blanco. Neve.;891;756
090420;Tomacorriente monofasico doble con polo a tierra 125 V- 15 A .;9664;8202
090427;Tomacorriente monofasico doble con polo a tierra GFCI LEGRAND 125 V -;59109;50160
09044;Salida de cable con sujetacable. Blanco. Neve.;2529;2151
09147;Variador 120V. 30-500W. Blanco. Neve.;53151;45101
09245;Toma Corriente 2P+T 15A. Blanco. Neve.;4462;3782
09246;Toma Corriente Doble + Tierra. Blanco. Neve.;6832;5798
09318;Toma TV. Blanco. Neve.;9958;8454
09320;Toma Telefonico RJ11 6/4. Blanco. Neve.;15571;13210
09613;Soporte 3M + Tornillos. Serie Neve.;1303;1101
09653.01;Placa 3M Blanca. Serie Neve. Blanco.;2647;2244
09653.02;Placa 3M Marfil. Serie Neve.;3672;3118
09653.11;Placa 3M Plata Mate. Serie Neve.;4714;4000
09653.12;Placa 3M Plata Champan Mate. Serie Neve.;4874;4134
09BDL8GCA;BOMBILLO LED GU10 8W 3K 85-265V.;21218;18000
09BDL8GSA;Bombilla de LED de 8W. GU10. 3.000 K? 130 L/W Ac 85-265V;19076;16185
09BDL9ECA;Bombilla de LED 9W. GU10. 3.000?K. 85-265V.;21218;18000
09BDL9ENE;Bombilla de LED de 9W. GU10. 4.000 K? DG Ac 85-265V;21218;18000
09HLED429MV30N;Bolardo de Exterior decorativo LED 9W.  3.000?K. Color negro.;296950;251958
0D6V4J;Licencia win server essential 2016;2651790;2250000
0JL00421CB;SPOT RIEL LED 20W 4.000 K?  90 IRC BL IP20.;255714;216975
1-CSREF.275;Juego de Marco y Tapa Fundida. Tipo 1-CSREF.275.;435328;369370
1-F02.005.4008;Dise?, Suministro e instalacion de Iluminacion para entrada MAKRO Cum;19150941;16244311
100;?Cotizacion Incierto Asignar Detalle;0;0
100.9007.00;Carcaza con tuerca .;6000;5092
1000675-EQUIPOS;Equipos de Automatizacion y Balastos sistema de Iluminacion.;229345286;194596000
1006;Bornera de 3 pines Macho y Hembra;2681;2277
10063274;Pintura en Polvo Suave brillante 22347. Caja de 25Kgm.;1166437;989706
100PAR38-AM;Bombilla reflectora PAR38. Amarilla.;10487;8899
100PAR38-AM-GE;Bombilla 100W. PAR38 Amarilla. GE.;18933;16067
100PAR38-AZ;Bombilla refelctora PAR 38 Azul.;10487;8899
100PAR38-R;Bombilla reflectora PAR38 Roja.;10487;8899
100PAR38-V;Bombilla reflectora PAR38 verde.;11168;9479
100PAR38FL-PH;Bombilla halogena de 100W. PAR38. Flood. 120V. E-27;23571;20000
10115213;Pintura en polvo blanco cremoso 25KG. RAL9010.;1308929;1110606
1018060;Accesorio decorativo para sujetar cable a techo. Incluye tornillo par;1370;1160
1018070;Sujetador de Cable.;2857;2429
1018071;Sujetador de Cable.;1924;1639
1018117;Sujetador de Cable.;1437;1218
1018120;Sujetador de Cable.;3034;2571
1018121;Sujetador de Cable.;3143;2672
1018135;Sujetador de Cable.;1504;1277
10291520;Pintura en Polvo Granulado Mate. Caja de 25Kgm.;468311;397353
103-000019-00;Controlador player. referencia.103-000019-00.;2374168;2014445
10492;Foco piloto 110V. marca VIMAR Italiano;6328;5370
1053.68;Portafusible para C.I para fusible 5x20m;218;185
106-000003-04;Fuente de poder,referencia. 106-000003-04;581076;493034
107-9209.00;Maneta abatible para control de barras planas.;88462;75059
107.9202.00;Cierre maneta abatible en zamak.;60714;51521
108-000020-01;Cable conexion. referencia. 108-000020-01.;38571;32731
108-000021-00;Cable lider. referencia 108-000021-00.;161882;137353
10984/2;Bornera de 2 pines para circuito impreso;0;0
10984/3;Bornera de 3 pines para circuito impreso;0;0
10HLED762MV30N;Reflector De Exterior Led Piso/Estaca, 10w, IP65 Luz C?ida.;234653;199100
10W12V-G4;Bulbo halogeno 10W. 12V.G4.;1613;1370
10YD101MVB;BALA DE INCRUSTAR A PRUEBA DE VAPOR (ADRIA I), 7W, 600lm, 4000K, ON/OF;44647;37882
10YDR002MVN;Bala Redonda Recesada Negra. MR16. Socket GU10.;35538;30160
10YSNLED009MV30N;Cilindro LED de 10W. 3.000?K. 120-240V.;181008;153588
1104;Regleta 12 pares, AWG 22-16. 15.5 amp. Nylon natural.;3277;0
1106;Regleta de 12 pares, AWG 22-14, hasta 24;0;0
1106/3P;Regleta Poliamida 6, color natural 3 polos, contramarcada, 750V 41A ca;840;0
1110;Regleta Poliamida 6, color natural 12 polos, 750V 57A cable r?ido 10;0;0
1110-PH;Regleta de conexion de 2 polos con pisa;361;311
1110/3P;Regleta Poliamida 6, color natural 12 polos, 750V 57A cable r?ido 10m;1261;0
1116;Regleta de 12 pares, AWG 22-16, hasta 57;8042;6824
1121033383;LED DRAGON PUCK DP3-W2-854 3.6W OSRAM;139294;118185
1121100276;LED BALA AQUALED (4 LED) 10 V SATINADA OSRAM;127681;108336
11531702-B;Spot para bombillo GU10 Doble.;71252;60462
115710BL;Spot para bombillo GU10 Doble.;37672;31966
1163055;Chazo con tornillo  de colpe  o ancvla de nilon.;294;244
11800.0-OO;"Filtro 4"" IP54 serie EF 118.sTEGO";56252;47731
11801.0-00;Filtro de salida  (5?) 125X125mm.;92866;78790
11802.O-00;"Filtro 7"" IP54 serie EF 118";93756;79546
120YD4002MVN;Kardan Alicante Doble GU10 -100-240v Negra.;87101;73899
123-000004-01;Barra led.referencia 123-000004-04;578571;490916
1231;Transformador de 16.5V AC 25VA;28933;24546
12MF3000;UPS Monof?ica 3 KVA/1800W, 120VAC.;1915185;1625000
12TMEMAT075;Terminal de 3/4.;1412;1193
12TMEMAT100;"Terminales de 1"".";1739;1471
12V-4A/H;Bateria 12V-4Ah;67504;57277
12V-5A;Driver para cinta de led 12V-5A.;27714;23513
12V-7A/H;Bateria 12V-7Ah;102866;87277
12YDLED430MV40B;Panel LED de empotrar.12W.4.000K.100-240V. Color Blanco.;15849;13445
